"am_gene_ID","am_gene_symbol","dr_gene_ID","dr_gene_symbol"
"ENSAMXG00000019303","ptk2bb","ENSDARG00000039577","ptk2bb"
"ENSAMXG00000019304","cilp","ENSDARG00000053362","cilp"
"ENSAMXG00000019305","TMEM275","ENSDARG00000104930","TMEM275"
"ENSAMXG00000019306","rgs18","ENSDARG00000036106","rgs18"
"ENSAMXG00000019308","ENSAMXG00000019308","ENSDARG00000067824","ENSDARG00000067824"
"ENSAMXG00000019310","cdc20","ENSDARG00000100741","cdc20"
"ENSAMXG00000019312","kcnh5a","ENSDARG00000043220","kcnh5a"
"ENSAMXG00000019313","CC2D1B","ENSDARG00000099445","CC2D1B"
"ENSAMXG00000019321","blvra","ENSDARG00000059857","blvra"
"ENSAMXG00000019323","ENSAMXG00000019323","ENSDARG00000058946","ENSDARG00000058946"
"ENSAMXG00000019325","pdxp","ENSDARG00000109823","pdxp"
"ENSAMXG00000019326","SSH1","ENSDARG00000056780","SSH1"
"ENSAMXG00000019327","wdr48b","ENSDARG00000038543","wdr48b"
"ENSAMXG00000019330","SETD9","ENSDARG00000074456","SETD9"
"ENSAMXG00000019334","odf3l2a","ENSDARG00000014209","odf3l2a"
"ENSAMXG00000019335","CLCN2","ENSDARG00000062427","CLCN2"
"ENSAMXG00000019337","ADCK2","ENSDARG00000073923","ADCK2"
"ENSAMXG00000019339","IGDCC3","ENSDARG00000075158","IGDCC3"
"ENSAMXG00000019342","hif1ab","ENSDARG00000034293","hif1ab"
"ENSAMXG00000019344","keap1a","ENSDARG00000016132","keap1a"
"ENSAMXG00000019345","eif4g1a","ENSDARG00000006200","eif4g1a"
"ENSAMXG00000019347","zgc:110158","ENSDARG00000056490","SSBP4"
"ENSAMXG00000019348","tfa","ENSDARG00000016771","tfa"
"ENSAMXG00000019350","prkchb","ENSDARG00000043243","prkchb"
"ENSAMXG00000019352","six4b","ENSDARG00000031983","six4b"
"ENSAMXG00000019354","six1b","ENSDARG00000026473","six1b"
"ENSAMXG00000019355","ZNF622","ENSDARG00000014692","ZNF622"
"ENSAMXG00000019357","ddx56","ENSDARG00000020913","ddx56"
"ENSAMXG00000019358","ENSAMXG00000019358","ENSDARG00000038302","ENSDARG00000038302"
"ENSAMXG00000019359","d2hgdh","ENSDARG00000060210","d2hgdh"
"ENSAMXG00000019361","ENSAMXG00000019361","ENSDARG00000116491","h2az2b"
"ENSAMXG00000019362","acvr1l","ENSDARG00000014986","acvr1l"
"ENSAMXG00000019365","polm","ENSDARG00000103470","polm"
"ENSAMXG00000019368","mrps24","ENSDARG00000100116","mrps24"
"ENSAMXG00000019370","xrn1","ENSDARG00000091652","xrn1"
"ENSAMXG00000019371","ENSAMXG00000019371","ENSDARG00000056213","si:ch73-130a3.4"
"ENSAMXG00000019372","ptk6b","ENSDARG00000059956","ptk6b"
"ENSAMXG00000019373","nudcd3","ENSDARG00000098361","nudcd3"
"ENSAMXG00000019375","CAMK2B","ENSDARG00000011065","camk2b1"
"ENSAMXG00000019378","ENSAMXG00000019378","ENSDARG00000101719","ENSDARG00000101719"
"ENSAMXG00000019379","ZMIZ2","ENSDARG00000098683","ZMIZ2"
"ENSAMXG00000019387","denr","ENSDARG00000037229","denr"
"ENSAMXG00000019388","si:dkey-26c10.5","ENSDARG00000088023","si:dkey-26c10.5"
"ENSAMXG00000019390","ENSAMXG00000019390","ENSDARG00000089320","ENSDARG00000089320"
"ENSAMXG00000019401","GGA3","ENSDARG00000098871","GGA3"
"ENSAMXG00000019403","srd5a2b","ENSDARG00000039067","srd5a2b"
"ENSAMXG00000019410","pth1r","ENSDARG00000020957","pth1r"
"ENSAMXG00000019411","jpt1b","ENSDARG00000099312","jpt1b"
"ENSAMXG00000019415","cobl","ENSDARG00000091006","cobl"
"ENSAMXG00000019418","zgc:171971","ENSDARG00000042054","zgc:171971"
"ENSAMXG00000019419","ENSAMXG00000019419","ENSDARG00000078536","ENSDARG00000078536"
"ENSAMXG00000019420","ENSAMXG00000019420","ENSDARG00000063451","ENSDARG00000063451"
"ENSAMXG00000019421","GRB10","ENSDARG00000035308","GRB10"
"ENSAMXG00000019424","golga1","ENSDARG00000008979","golga1"
"ENSAMXG00000019435","arid3c","ENSDARG00000067729","arid3c"
"ENSAMXG00000019440","nol4lb","ENSDARG00000037607","nol4lb"
"ENSAMXG00000019441","ENSAMXG00000019441","ENSDARG00000101592","ENSDARG00000101592"
"ENSAMXG00000019442","zgc:136908","ENSDARG00000011983","zgc:136908"
"ENSAMXG00000019443","phyhiplb","ENSDARG00000070498","phyhiplb"
"ENSAMXG00000019444","pkd2","ENSDARG00000014098","pkd2"
"ENSAMXG00000019445","npr3","ENSDARG00000035253","npr3"
"ENSAMXG00000019451","TSC22D3","ENSDARG00000105498","TSC22D3"
"ENSAMXG00000019455","ddc","ENSDARG00000016494","ddc"
"ENSAMXG00000019460","chrnb3a","ENSDARG00000052764","chrnb3a"
"ENSAMXG00000019463","olfml2a","ENSDARG00000005648","olfml2a"
"ENSAMXG00000019467","ENSAMXG00000019467","ENSDARG00000061481","ENSDARG00000061481"
"ENSAMXG00000019470","myl4","ENSDARG00000011519","myl4"
"ENSAMXG00000019473","sbno1","ENSDARG00000099080","sbno1"
"ENSAMXG00000019477","coasy","ENSDARG00000042747","coasy"
"ENSAMXG00000019484","vps72a","ENSDARG00000063718","vps72a"
"ENSAMXG00000019485","commd7","ENSDARG00000036784","commd7"
"ENSAMXG00000019487","rnf10","ENSDARG00000079687","rnf10"
"ENSAMXG00000019494","ENSAMXG00000019494","ENSDARG00000063140","ENSDARG00000063140"
"ENSAMXG00000019497","wdr41","ENSDARG00000009851","wdr41"
"ENSAMXG00000019498","fam222ba","ENSDARG00000059886","fam222ba"
"ENSAMXG00000019499","AGL","ENSDARG00000103811","agla"
"ENSAMXG00000019501","ENSAMXG00000019501","ENSDARG00000057729","ENSDARG00000057729"
"ENSAMXG00000019502","prmt8b","ENSDARG00000045760","prmt8b"
"ENSAMXG00000019505","IGDCC4","ENSDARG00000076919","IGDCC4"
"ENSAMXG00000019507","plxnb2a.1","ENSDARG00000003811","plxnb2a.1"
"ENSAMXG00000019508","FAM193A","ENSDARG00000102787","fam193a"
"ENSAMXG00000019510","poglut3","ENSDARG00000021408","poglut3"
"ENSAMXG00000019511","zfr","ENSDARG00000027109","zfr"
"ENSAMXG00000019513","ENSAMXG00000019513","ENSDARG00000075732","ENSDARG00000075732"
"ENSAMXG00000019516","PDE8B","ENSDARG00000063706","PDE8B"
"ENSAMXG00000019517","kcnk9","ENSDARG00000104563","kcnk9"
"ENSAMXG00000019520","rab11fip3","ENSDARG00000016490","rab11fip3"
"ENSAMXG00000019524","cdc37l1","ENSDARG00000044265","cdc37l1"
"ENSAMXG00000019526","TREH","ENSDARG00000077911","TREH"
"ENSAMXG00000019527","ENSAMXG00000019527","ENSDARG00000079393","ENSDARG00000079393"
"ENSAMXG00000019529","EFL1","ENSDARG00000079672","EFL1"
"ENSAMXG00000019534","pus3","ENSDARG00000028976","pus3"
"ENSAMXG00000019537","decr2","ENSDARG00000045257","decr2"
"ENSAMXG00000019541","MPHOSPH9","ENSDARG00000117699","ENSDARG00000117699"
"ENSAMXG00000019544","ENSAMXG00000019544","ENSDARG00000068143","slc39a6"
"ENSAMXG00000019547","prmt9","ENSDARG00000036755","prmt9"
"ENSAMXG00000019548","TSPAN9","ENSDARG00000025299","TSPAN9"
"ENSAMXG00000019553","DDX6","ENSDARG00000061338","DDX6"
"ENSAMXG00000019554","abcc9","ENSDARG00000015985","abcc9"
"ENSAMXG00000019558","ugcg","ENSDARG00000058221","ugcg"
"ENSAMXG00000019560","wdr6","ENSDARG00000078571","wdr6"
"ENSAMXG00000019561","CYP7B1","ENSDARG00000008858","CYP7B1"
"ENSAMXG00000019562","kcnj8","ENSDARG00000045589","kcnj8"
"ENSAMXG00000019570","snap47","ENSDARG00000063445","snap47"
"ENSAMXG00000019572","grnb","ENSDARG00000025081","grnb"
"ENSAMXG00000019573","abcg2d","ENSDARG00000016818","abcg2d"
"ENSAMXG00000019574","tspan33b","ENSDARG00000042189","tspan33b"
"ENSAMXG00000019578","crhbp","ENSDARG00000024831","crhbp"
"ENSAMXG00000019583","saxo2","ENSDARG00000006474","saxo2"
"ENSAMXG00000019584","bcl9l","ENSDARG00000055054","bcl9l"
"ENSAMXG00000019585","ENSAMXG00000019585","ENSDARG00000037411","npy1r"
"ENSAMXG00000019587","jmjd4","ENSDARG00000058995","jmjd4"
"ENSAMXG00000019589","ENSAMXG00000019589","ENSDARG00000055835","ENSDARG00000055835"
"ENSAMXG00000019594","ENSAMXG00000019594","ENSDARG00000059801","ENSDARG00000059801"
"ENSAMXG00000019595","p2rx5","ENSDARG00000004455","p2rx5"
"ENSAMXG00000019600","c3a.1","ENSDARG00000043719","c3a.6"
"ENSAMXG00000019601","SLC18A1","ENSDARG00000078157","SLC18A1"
"ENSAMXG00000019602","mboat1","ENSDARG00000029356","mboat1"
"ENSAMXG00000019608","CENPVL3","ENSDARG00000092285","CENPV"
"ENSAMXG00000019609","cdon","ENSDARG00000061328","cdon"
"ENSAMXG00000019613","ENSAMXG00000019613","ENSDARG00000027903","ADAMTSL3"
"ENSAMXG00000019618","pigl","ENSDARG00000067752","pigl"
"ENSAMXG00000019619","osgep","ENSDARG00000045846","osgep"
"ENSAMXG00000019623","GRB7","ENSDARG00000042726","GRB7"
"ENSAMXG00000019624","parp8","ENSDARG00000059789","parp8"
"ENSAMXG00000019626","trim55a","ENSDARG00000029596","trim55a"
"ENSAMXG00000019630","prdm10","ENSDARG00000104251","prdm10"
"ENSAMXG00000019635","adhfe1","ENSDARG00000053518","adhfe1"
"ENSAMXG00000019641","aplp2","ENSDARG00000054864","aplp2"
"ENSAMXG00000019642","ncor1","ENSDARG00000035285","ncor1"
"ENSAMXG00000019645","VCPIP1","ENSDARG00000060177","VCPIP1"
"ENSAMXG00000019647","aqp4","ENSDARG00000010565","aqp4"
"ENSAMXG00000019651","SRCIN1","ENSDARG00000101812","srcin1b"
"ENSAMXG00000019652","selenoo2","ENSDARG00000014395","selenoo2"
"ENSAMXG00000019655","ZNF827","ENSDARG00000076171","ZNF827"
"ENSAMXG00000019657","OGDH","ENSDARG00000034270","ogdha"
"ENSAMXG00000019658","lmnl3","ENSDARG00000007751","lmnl3"
"ENSAMXG00000019660","ndufs4","ENSDARG00000052840","ndufs4"
"ENSAMXG00000019662","st14a","ENSDARG00000061173","st14a"
"ENSAMXG00000019663","DIS3L2","ENSDARG00000033259","DIS3L2"
"ENSAMXG00000019667","hephl1a","ENSDARG00000059231","hephl1a"
"ENSAMXG00000019670","arl15a","ENSDARG00000076040","arl15a"
"ENSAMXG00000019676","ncapg2","ENSDARG00000060023","ncapg2"
"ENSAMXG00000019677","sgo1","ENSDARG00000103907","sgo1"
"ENSAMXG00000019678","dok6","ENSDARG00000063032","dok6"
"ENSAMXG00000019680","snx18a","ENSDARG00000067713","snx18a"
"ENSAMXG00000019684","ifng1","ENSDARG00000024211","ifng1"
"ENSAMXG00000019687","adam9","ENSDARG00000010070","adam9"
"ENSAMXG00000019688","DEPDC1B","ENSDARG00000099541","ENSDARG00000099541"
"ENSAMXG00000019689","ifrd2","ENSDARG00000036811","ifrd2"
"ENSAMXG00000019690","utp4","ENSDARG00000017675","utp4"
"ENSAMXG00000019691","zgc:152968","ENSDARG00000037002","zgc:152968"
"ENSAMXG00000019700","nudt18","ENSDARG00000041576","nudt18"
"ENSAMXG00000019701","msrb1a","ENSDARG00000025436","msrb1a"
"ENSAMXG00000019702","trap1","ENSDARG00000024317","trap1"
"ENSAMXG00000019705","dhx34","ENSDARG00000061168","dhx34"
"ENSAMXG00000019711","dyrk2","ENSDARG00000094646","dyrk2"
"ENSAMXG00000019712","tmem71","ENSDARG00000079784","tmem71"
"ENSAMXG00000019717","dffb","ENSDARG00000009748","dffb"
"ENSAMXG00000019723","fhip2b","ENSDARG00000060029","fhip2b"
"ENSAMXG00000019724","si:dkey-193c22.1","ENSDARG00000093687","si:dkey-193c22.1"
"ENSAMXG00000019726","RAB3C","ENSDARG00000014462","rab3c"
"ENSAMXG00000019728","spred3","ENSDARG00000040358","spred3"
"ENSAMXG00000019730","mapk12b","ENSDARG00000006409","mapk12b"
"ENSAMXG00000019732","cd226","ENSDARG00000045391","cd226"
"ENSAMXG00000019744","ENSAMXG00000019744","ENSDARG00000013775","ENSDARG00000013775"
"ENSAMXG00000019751","eif2b5","ENSDARG00000074995","eif2b5"
"ENSAMXG00000019754","MN1","ENSDARG00000076529","MN1"
"ENSAMXG00000019756","ENSAMXG00000019756","ENSDARG00000094886","si:dkey-266f7.5"
"ENSAMXG00000019757","ENSAMXG00000019757","ENSDARG00000094514","ENSDARG00000094514"
"ENSAMXG00000019758","cand1","ENSDARG00000017841","cand1"
"ENSAMXG00000019761","CEP104","ENSDARG00000060361","CEP104"
"ENSAMXG00000019762","TMC3","ENSDARG00000090696","ENSDARG00000090696"
"ENSAMXG00000019763","kcng4a","ENSDARG00000062967","kcng4a"
"ENSAMXG00000019765","nr5a1b","ENSDARG00000023362","nr5a1b"
"ENSAMXG00000019771","gtpbp4","ENSDARG00000018961","gtpbp4"
"ENSAMXG00000019775","WDFY3","ENSDARG00000078890","WDFY3"
"ENSAMXG00000019779","ENSAMXG00000019779","ENSDARG00000062964","ENSDARG00000062964"
"ENSAMXG00000019781","znf687b","ENSDARG00000019299","znf687b"
"ENSAMXG00000019783","SLC23A2","ENSDARG00000017365","SLC23A2"
"ENSAMXG00000019792","NEK6","ENSDARG00000037963","NEK6"
"ENSAMXG00000019793","tec","ENSDARG00000098477","tec"
"ENSAMXG00000019794","lrig3","ENSDARG00000079363","lrig3"
"ENSAMXG00000019797","SLCO5A1","ENSDARG00000086104","slco5a1a"
"ENSAMXG00000019801","aqp10b","ENSDARG00000058678","aqp10b"
"ENSAMXG00000019802","rpusd1","ENSDARG00000060192","rpusd1"
"ENSAMXG00000019807","DENND1A","ENSDARG00000014592","DENND1A"
"ENSAMXG00000019808","zgc:165507","ENSDARG00000098258","SLC16A7"
"ENSAMXG00000019813","ENSAMXG00000019813","ENSDARG00000114920","TTC28"
"ENSAMXG00000019814","ENSAMXG00000019814","ENSDARG00000004529","ENSDARG00000004529"
"ENSAMXG00000019832","dguok","ENSDARG00000075395","dguok"
"ENSAMXG00000019833","ENSAMXG00000019833","ENSDARG00000100451","olfcs2"
"ENSAMXG00000019836","ENSAMXG00000019836","ENSDARG00000110024","ENSDARG00000110024"
"ENSAMXG00000019838","ENSAMXG00000019838","ENSDARG00000060106","crb2a"
"ENSAMXG00000019843","ccdc92","ENSDARG00000041750","ccdc92"
"ENSAMXG00000019844","IL16","ENSDARG00000102908","IL16"
"ENSAMXG00000019845","arf1","ENSDARG00000009484","arf1"
"ENSAMXG00000019847","cpdb","ENSDARG00000053877","cpdb"
"ENSAMXG00000019848","zgc:158659","ENSDARG00000060597","zgc:158659"
"ENSAMXG00000019851","CDH13","ENSDARG00000014215","CDH13"
"ENSAMXG00000019853","ubap2l","ENSDARG00000063219","ubap2l"
"ENSAMXG00000019854","VDR","ENSDARG00000099483","VDR"
"ENSAMXG00000019855","RTTN","ENSDARG00000004131","RTTN"
"ENSAMXG00000019864","nap1l4b","ENSDARG00000068868","nap1l4b"
"ENSAMXG00000019867","fhl1a","ENSDARG00000071498","fhl1a"
"ENSAMXG00000019869","GPR158","ENSDARG00000077134","GPR158"
"ENSAMXG00000019871","fbxo44.7","ENSDARG00000022623","fbxo44.1"
"ENSAMXG00000019872","mesd","ENSDARG00000063030","mesd"
"ENSAMXG00000019878","FBXO33","ENSDARG00000075400","FBXO33"
"ENSAMXG00000019879","RBSN","ENSDARG00000078215","RBSN"
"ENSAMXG00000019881","olfcw1","ENSDARG00000100604","olfcw1"
"ENSAMXG00000019885","ENSAMXG00000019885","ENSDARG00000060771","MAP7D3"
"ENSAMXG00000019888","IPP","ENSDARG00000075339","ipp"
"ENSAMXG00000019894","mrps25","ENSDARG00000041306","mrps25"
"ENSAMXG00000019906","CEMIP","ENSDARG00000039881","CEMIP"
"ENSAMXG00000019911","ENSAMXG00000019911","ENSDARG00000088762","ENSDARG00000088762"
"ENSAMXG00000019919","TNRC6A","ENSDARG00000079688","TNRC6A"
"ENSAMXG00000019920","RAD50","ENSDARG00000038917","RAD50"
"ENSAMXG00000019921","ENSAMXG00000019921","ENSDARG00000104552","olfcg1"
"ENSAMXG00000019923","cyp8b1.2","ENSDARG00000053068","cyp8b1.1"
"ENSAMXG00000019926","s100s","ENSDARG00000036773","s100s"
"ENSAMXG00000019928","wdr46","ENSDARG00000095879","wdr46"
"ENSAMXG00000019929","rasgef1ba","ENSDARG00000033614","rasgef1ba"
"ENSAMXG00000019932","pdf","ENSDARG00000013950","pdf"
"ENSAMXG00000019934","ENSAMXG00000019934","ENSDARG00000101104","ENSDARG00000101104"
"ENSAMXG00000019939","pcolcea","ENSDARG00000056913","pcolcea"
"ENSAMXG00000019941","olfch1","ENSDARG00000100026","olfch1"
"ENSAMXG00000019947","ddx55","ENSDARG00000009864","ddx55"
"ENSAMXG00000019951","olfcj1","ENSDARG00000104430","olfcj1"
"ENSAMXG00000019955","mtss1la","ENSDARG00000028943","mtss1la"
"ENSAMXG00000019956","tmem88a","ENSDARG00000056920","tmem88a"
"ENSAMXG00000019963","ARHGEF6","ENSDARG00000006683","ENSDARG00000006683"
"ENSAMXG00000019968","kdm6bb","ENSDARG00000056929","kdm6bb"
"ENSAMXG00000019969","chd4a","ENSDARG00000063535","chd4a"
"ENSAMXG00000019972","prkg2","ENSDARG00000054741","prkg2"
"ENSAMXG00000019973","NAA25","ENSDARG00000075446","NAA25"
"ENSAMXG00000019974","mapk12a","ENSDARG00000042021","mapk12a"
"ENSAMXG00000019975","CACNA1I","ENSDARG00000070522","ENSDARG00000070522"
"ENSAMXG00000019978","arnt2","ENSDARG00000103697","arnt2"
"ENSAMXG00000019979","LARS1","ENSDARG00000019280","LARS1"
"ENSAMXG00000019981","fabp10a","ENSDARG00000038439","fabp10a"
"ENSAMXG00000019983","NEURL4","ENSDARG00000078127","NEURL4"
"ENSAMXG00000019984","EFNB3","ENSDARG00000112993","ENSDARG00000112993"
"ENSAMXG00000019987","eno2","ENSDARG00000014287","eno2"
"ENSAMXG00000019988","GIGYF1","ENSDARG00000078691","GIGYF1"
"ENSAMXG00000019990","rbmx","ENSDARG00000014244","rbmx"
"ENSAMXG00000019991","tpi1a","ENSDARG00000025012","tpi1a"
"ENSAMXG00000019994","wdr17","ENSDARG00000075098","wdr17"
"ENSAMXG00000019996","eif4e2rs1","ENSDARG00000015835","eif4e2rs1"
"ENSAMXG00000019998","ENSAMXG00000019998","ENSDARG00000117144","ENSDARG00000117144"
"ENSAMXG00000020000","gnb3b","ENSDARG00000002696","gnb3b"
"ENSAMXG00000020009","ENSAMXG00000020009","ENSDARG00000067828","ENSDARG00000067828"
"ENSAMXG00000020012","selenoo1","ENSDARG00000041951","selenoo1"
"ENSAMXG00000020014","ubr5","ENSDARG00000018192","ubr5"
"ENSAMXG00000020019","ENSAMXG00000020019","ENSDARG00000112564","ENSDARG00000112564"
"ENSAMXG00000020022","kctd16b","ENSDARG00000020102","kctd16b"
"ENSAMXG00000020031","panx2","ENSDARG00000063019","panx2"
"ENSAMXG00000020035","ADAP1","ENSDARG00000038151","zgc:92360"
"ENSAMXG00000020037","cfap299","ENSDARG00000088753","cfap299"
"ENSAMXG00000020038","ENSAMXG00000020038","ENSDARG00000079372","ENSDARG00000079372"
"ENSAMXG00000020039","pafah1b1b","ENSDARG00000026595","pafah1b1b"
"ENSAMXG00000020041","fah","ENSDARG00000101762","fah"
"ENSAMXG00000020045","ENSAMXG00000020045","ENSDARG00000021787","ENSDARG00000021787"
"ENSAMXG00000020046","POLR2A","ENSDARG00000099966","POLR2A"
"ENSAMXG00000020049","ABTB3","ENSDARG00000063040","ABTB3"
"ENSAMXG00000020050","mntb","ENSDARG00000073988","mntb"
"ENSAMXG00000020058","septin4a","ENSDARG00000010385","septin4a"
"ENSAMXG00000020059","ENSAMXG00000020059","ENSDARG00000094735","ENSDARG00000094735"
"ENSAMXG00000020060","prdm8b","ENSDARG00000054683","prdm8b"
"ENSAMXG00000020061","zgc:56235","ENSDARG00000116680","zgc:56235"
"ENSAMXG00000020066","ENSAMXG00000020066","ENSDARG00000094862","ENSDARG00000094862"
"ENSAMXG00000020069","selenou1b","ENSDARG00000087059","selenou1b"
"ENSAMXG00000020073","bbs1","ENSDARG00000075169","bbs1"
"ENSAMXG00000020076","macc1","ENSDARG00000040717","macc1"
"ENSAMXG00000020078","trip13","ENSDARG00000025043","trip13"
"ENSAMXG00000020081","endou2","ENSDARG00000020122","endou2"
"ENSAMXG00000020090","azin1","ENSDARG00000052789","azin1a"
"ENSAMXG00000020091","rnf14","ENSDARG00000043905","rnf14"
"ENSAMXG00000020093","RFX7","ENSDARG00000077237","RFX7"
"ENSAMXG00000020094","CAPN1","ENSDARG00000055338","CAPN1"
"ENSAMXG00000020097","ENSAMXG00000020097","ENSDARG00000061903","ENSDARG00000061903"
"ENSAMXG00000020099","pacs1a","ENSDARG00000044556","pacs1a"
"ENSAMXG00000020101","olfcu1","ENSDARG00000040632","olfcu1"
"ENSAMXG00000020104","zgc:85858","ENSDARG00000039008","zgc:85858"
"ENSAMXG00000020106","zgc:165604","ENSDARG00000021241","zgc:165604"
"ENSAMXG00000020108","pole2","ENSDARG00000100028","pole2"
"ENSAMXG00000020109","hspa4a","ENSDARG00000004754","hspa4a"
"ENSAMXG00000020111","olfcq3","ENSDARG00000035214","ENSDARG00000035214"
"ENSAMXG00000020115","tex9","ENSDARG00000010586","tex9"
"ENSAMXG00000020117","USH1G","ENSDARG00000076079","USH1G"
"ENSAMXG00000020124","ENSAMXG00000020124","ENSDARG00000062893","ENSDARG00000062893"
"ENSAMXG00000020127","SERINC2","ENSDARG00000053425","SERINC2"
"ENSAMXG00000020129","PCNX3","ENSDARG00000019501","pcnx3"
"ENSAMXG00000020131","MARVELD2","ENSDARG00000025076","MARVELD2"
"ENSAMXG00000020133","paqr3a","ENSDARG00000017703","paqr3a"
"ENSAMXG00000020135","ric8b","ENSDARG00000005972","ric8b"
"ENSAMXG00000020137","AFF4","ENSDARG00000001857","AFF4"
"ENSAMXG00000020148","rfx4","ENSDARG00000026395","rfx4"
"ENSAMXG00000020159","ENSAMXG00000020159","ENSDARG00000038445","ENSDARG00000038445"
"ENSAMXG00000020162","septin8a","ENSDARG00000032606","septin8a"
"ENSAMXG00000020163","POLR3B","ENSDARG00000062915","POLR3B"
"ENSAMXG00000020166","phactr4b","ENSDARG00000032221","phactr4b"
"ENSAMXG00000020167","fras1","ENSDARG00000054619","fras1"
"ENSAMXG00000020170","mfn1b","ENSDARG00000079219","mfn1b"
"ENSAMXG00000020172","endouc","ENSDARG00000112234","endouc"
"ENSAMXG00000020177","gpatch1","ENSDARG00000033418","gpatch1"
"ENSAMXG00000020181","lrr1","ENSDARG00000104448","lrr1"
"ENSAMXG00000020182","ENSAMXG00000020182","ENSDARG00000053036","ENSDARG00000053036"
"ENSAMXG00000020184","rcc1","ENSDARG00000037158","rcc1"
"ENSAMXG00000020186","pygma","ENSDARG00000055518","pygma"
"ENSAMXG00000020191","cep72","ENSDARG00000105258","cep72"
"ENSAMXG00000020196","ppfibp1b","ENSDARG00000100057","ppfibp1b"
"ENSAMXG00000020200","NEMF","ENSDARG00000102859","ENSDARG00000102859"
"ENSAMXG00000020205","PLCH1","ENSDARG00000079253","PLCH1"
"ENSAMXG00000020206","tcea3","ENSDARG00000004724","tcea3"
"ENSAMXG00000020208","slc22a6l","ENSDARG00000055523","slc22a6l"
"ENSAMXG00000020210","lrp3","ENSDARG00000008485","lrp3"
"ENSAMXG00000020214","tpst2","ENSDARG00000099155","tpst2"
"ENSAMXG00000020215","tlr3","ENSDARG00000016065","tlr3"
"ENSAMXG00000020218","si:ch211-245j22.3","ENSDARG00000041379","si:ch211-245j22.3"
"ENSAMXG00000020226","otub1a","ENSDARG00000055536","otub1a"
"ENSAMXG00000020227","slc7a10a","ENSDARG00000008100","slc7a10a"
"ENSAMXG00000020228","pigv","ENSDARG00000101952","pigv"
"ENSAMXG00000020229","ENSAMXG00000020229","ENSDARG00000102632","ubc"
"ENSAMXG00000020229","ENSAMXG00000020229","ENSDARG00000093313","ubb"
"ENSAMXG00000020229","ENSAMXG00000020229","ENSDARG00000002369","UBB"
"ENSAMXG00000020231","bag6","ENSDARG00000075892","bag6"
"ENSAMXG00000020233","arntl2","ENSDARG00000041381","arntl2"
"ENSAMXG00000020234","DYNC1H1","ENSDARG00000014717","DYNC1H1"
"ENSAMXG00000020235","ENSAMXG00000020235","ENSDARG00000114572","ENSDARG00000114572"
"ENSAMXG00000020237","ARID1A","ENSDARG00000101710","ARID1A"
"ENSAMXG00000020239","rhpn2","ENSDARG00000014577","rhpn2"
"ENSAMXG00000020240","atg4a","ENSDARG00000014531","atg4a"
"ENSAMXG00000020242","ENSAMXG00000020242","ENSDARG00000016897","ENSDARG00000016897"
"ENSAMXG00000020247","TRAPPC10","ENSDARG00000098118","TRAPPC10"
"ENSAMXG00000020256","slc17a8","ENSDARG00000057728","slc17a8"
"ENSAMXG00000020268","WARS1","ENSDARG00000104659","ENSDARG00000104659"
"ENSAMXG00000020274","nr1h4","ENSDARG00000057741","nr1h4"
"ENSAMXG00000020275","ENSAMXG00000020275","ENSDARG00000112136","ENSDARG00000112136"
"ENSAMXG00000020282","pkmyt1","ENSDARG00000074730","pkmyt1"
"ENSAMXG00000020288","gnl2","ENSDARG00000098080","gnl2"
"ENSAMXG00000020289","cep89","ENSDARG00000005092","cep89"
"ENSAMXG00000020291","prpf8","ENSDARG00000026180","prpf8"
"ENSAMXG00000020293","ENSAMXG00000020293","ENSDARG00000089567","ENSDARG00000089567"
"ENSAMXG00000020294","myo1cb","ENSDARG00000061579","myo1cb"
"ENSAMXG00000020299","pelo","ENSDARG00000055477","pelo"
"ENSAMXG00000020300","kif4","ENSDARG00000005462","kif4"
"ENSAMXG00000020301","nudt4a","ENSDARG00000057767","nudt4a"
"ENSAMXG00000020306","KLHL28","ENSDARG00000101676","KLHL28"
"ENSAMXG00000020307","ppp1cab","ENSDARG00000071566","ppp1cab"
"ENSAMXG00000020308","mgmt","ENSDARG00000043275","mgmt"
"ENSAMXG00000020310","smndc1","ENSDARG00000056235","smndc1"
"ENSAMXG00000020311","add3b","ENSDARG00000056250","add3b"
"ENSAMXG00000020313","atp2a1l","ENSDARG00000035458","atp2a1l"
"ENSAMXG00000020315","rragca","ENSDARG00000069829","rragca"
"ENSAMXG00000020316","EEA1","ENSDARG00000062868","EEA1"
"ENSAMXG00000020320","rrp15","ENSDARG00000013478","rrp15"
"ENSAMXG00000020324","ammecr1","ENSDARG00000012892","ammecr1"
"ENSAMXG00000020331","ENSAMXG00000020331","ENSDARG00000062577","ARHGAP35"
"ENSAMXG00000020336","mto1","ENSDARG00000055679","mto1"
"ENSAMXG00000020337","ADCY3","ENSDARG00000077145","ADCY3"
"ENSAMXG00000020339","rab4b","ENSDARG00000012177","rab4b"
"ENSAMXG00000020344","ppfia1","ENSDARG00000098674","ppfia1"
"ENSAMXG00000020345","ppp1r21","ENSDARG00000103144","ppp1r21"
"ENSAMXG00000020348","NETO1","ENSDARG00000071596","NETO1"
"ENSAMXG00000020349","ppm1na","ENSDARG00000010231","ppm1na"
"ENSAMXG00000020350","ENSAMXG00000020350","ENSDARG00000057504","ENSDARG00000057504"
"ENSAMXG00000020352","plekhg7","ENSDARG00000062855","plekhg7"
"ENSAMXG00000020353","PTGIR","ENSDARG00000038278","PTGIR"
